invoice_no,vendor,company_id,base_amount,gst_rate,gst_amount,total_amount,day_of_week,hour,month,is_weekend,is_late_hour,is_round_amount,vendor_transaction_count,vendor_avg_amount,amount_deviation_ratio,gst_mismatch,amount_to_gst_ratio,is_fraud
INV-000017,LegitVendor_012,COMP_042,154431.3,18,27797.63,182228.93,4,20,5,0,1,0,1,182228.93,0.0,0,5.5554,0
INV-000018,LegitVendor_056,COMP_041,59188.33,12,7102.6,66290.93,2,20,6,0,1,0,1,66290.93,0.0,0,8.3322,0
INV-000019,LegitVendor_029,COMP_043,8700.61,12,1044.07,9744.68,1,20,11,0,1,0,1,9744.68,0.0,0,8.3254,0
INV-000020,LegitVendor_026,COMP_032,14303.6,18,2574.65,16878.24,1,20,6,0,1,0,1,16878.24,0.0,0,5.5534,0
INV-000021,LegitVendor_069,COMP_040,227325.62,12,27279.07,254604.7,6,20,6,1,1,0,1,254604.7,0.0,0,8.333,0
INV-000022,LegitVendor_031,COMP_023,18324.54,18,3298.42,21622.95,5,20,7,1,1,0,1,21622.95,0.0,0,5.5539,0
INV-000023,SuspiciousVendor_019,COMP_048,100000.0,18,18000.0,118000.0,6,22,1,1,1,1,1,118000.0,0.0,0,5.5552,1
INV-000024,LegitVendor_053,COMP_048,39077.61,12,4689.31,43766.92,3,20,11,0,1,0,1,43766.92,0.0,0,8.3316,0
INV-000025,LegitVendor_031,COMP_001,16141.77,12,1937.01,18078.78,1,20,4,0,1,0,2,19850.87,0.0893,0,8.329,0
INV-000026,SuspiciousVendor_016,COMP_003,102154.31,12,12258.52,114412.82,0,20,2,0,1,0,1,114412.82,0.0,0,8.3327,1
INV-000027,LegitVendor_069,COMP_008,21455.64,18,3862.02,25317.66,4,20,11,0,1,0,2,139961.18,0.8191,0,5.5541,0
INV-000028,SuspiciousVendor_002,COMP_035,200000.0,28,56000.0,256000.0,3,20,5,0,1,1,1,256000.0,0.0,0,3.5714,1
INV-000029,SuspiciousVendor_017,COMP_039,12815.8,5,640.79,13456.59,6,20,5,1,1,0,1,13456.59,0.0,0,19.9688,1
INV-000030,LegitVendor_047,COMP_048,53609.89,18,9649.78,63259.66,1,20,2,0,1,0,1,63259.66,0.0,0,5.555,0
INV-000031,LegitVendor_008,COMP_036,104744.17,18,18853.95,123598.12,1,20,3,0,1,0,1,123598.12,0.0,0,5.5553,0
INV-000032,LegitVendor_032,COMP_023,7780.88,5,389.04,8169.92,6,20,6,1,1,0,1,8169.92,0.0,0,19.9487,0
INV-000033,LegitVendor_024,COMP_007,6751.65,12,810.2,7561.85,4,20,11,0,1,0,1,7561.85,0.0,0,8.3231,0
INV-000034,LegitVendor_040,COMP_034,5926.99,5,296.35,6223.34,3,20,5,0,1,0,1,6223.34,0.0,0,19.9327,0
INV-000035,LegitVendor_019,COMP_013,6961.33,18,1253.04,8214.37,1,20,6,0,1,0,1,8214.37,0.0,0,5.5511,0
INV-000036,LegitVendor_029,COMP_021,82943.41,28,23224.16,106167.57,0,20,9,0,1,0,2,57956.13,0.8318,0,3.5713,0
INV-000037,LegitVendor_020,COMP_007,113246.27,18,20384.33,133630.6,4,20,1,0,1,0,1,133630.6,0.0,0,5.5553,0
INV-000038,LegitVendor_034,COMP_047,89898.33,18,16181.7,106080.03,0,20,4,0,1,0,1,106080.03,0.0,0,5.5552,0
INV-000039,LegitVendor_029,COMP_016,16845.6,5,842.28,17687.88,6,20,9,1,1,0,3,44533.38,0.6028,0,19.9763,0
INV-000040,LegitVendor_045,COMP_023,51885.81,18,9339.45,61225.25,4,20,4,0,1,0,1,61225.25,0.0,0,5.555,0
INV-000041,SuspiciousVendor_000,COMP_032,8005.59,18,1441.01,106109.35,6,20,2,1,1,0,2,55711.78,0.9046,0,5.5517,1
INV-000042,LegitVendor_065,COMP_046,3146.25,18,566.32,3712.57,2,20,6,0,1,0,1,3712.57,0.0,0,5.5458,0
INV-000043,LegitVendor_032,COMP_001,37787.32,12,4534.48,42321.8,5,20,12,1,1,0,2,25245.86,0.6764,0,8.3315,0
INV-000044,LegitVendor_024,COMP_025,186224.69,5,9311.23,195535.92,4,20,10,0,1,0,2,101548.88,0.9255,0,19.9979,0
INV-000045,LegitVendor_044,COMP_006,108777.26,18,19579.91,128357.17,4,20,10,0,1,0,1,128357.17,0.0,0,5.5553,0
INV-000046,LegitVendor_014,COMP_011,72102.44,18,12978.44,85080.88,2,20,7,0,1,0,2,64321.9,0.3227,0,5.5551,0
INV-000047,LegitVendor_050,COMP_031,26365.21,12,3163.82,29529.03,4,20,5,0,1,0,1,29529.03,0.0,0,8.3307,0
INV-000048,LegitVendor_053,COMP_041,26084.3,18,4695.17,30779.47,0,20,7,0,1,0,2,37273.2,0.1742,0,5.5544,0
INV-000049,LegitVendor_067,COMP_043,23264.55,18,4187.62,27452.17,0,20,2,0,1,0,1,27452.17,0.0,0,5.5542,0
INV-000050,LegitVendor_012,COMP_039,10077.69,18,1813.98,11891.68,5,20,6,1,1,0,2,97060.3,0.8775,0,5.5525,0
INV-000051,LegitVendor_062,COMP_018,8509.81,5,425.49,8935.3,1,20,1,0,1,0,2,81291.58,0.8901,0,19.9531,0
INV-000052,LegitVendor_011,COMP_022,19193.29,5,959.66,20152.96,0,20,6,0,1,0,1,20152.96,0.0,0,19.9792,0
INV-000053,LegitVendor_047,COMP_000,4851.0,28,1358.28,6209.27,5,20,7,1,1,0,2,34734.47,0.8212,0,3.5688,0
INV-000054,LegitVendor_068,COMP_038,66266.14,18,11927.91,78194.05,5,20,1,1,1,0,1,78194.05,0.0,0,5.5551,0
INV-000055,LegitVendor_015,COMP_002,37518.27,12,4502.19,42020.46,1,20,7,0,1,0,1,42020.46,0.0,0,8.3315,0
INV-000056,LegitVendor_038,COMP_025,55801.77,5,2790.09,58591.86,1,20,7,0,1,0,1,58591.86,0.0,0,19.9928,0
INV-000057,LegitVendor_009,COMP_029,12990.15,12,1558.82,14548.97,2,20,2,0,1,0,1,14548.97,0.0,0,8.328,0
INV-000058,LegitVendor_000,COMP_018,25768.0,18,4638.24,30406.24,0,20,12,0,1,0,1,30406.24,0.0,0,5.5544,0
INV-000059,SuspiciousVendor_001,COMP_015,3477.03,18,625.87,4102.9,4,20,5,0,1,0,2,107051.45,0.9617,0,5.5467,1
INV-000060,LegitVendor_064,COMP_036,102400.71,28,28672.2,131072.91,3,20,5,0,1,0,1,131072.91,0.0,0,3.5713,0
INV-000061,LegitVendor_011,COMP_043,13330.23,18,2399.44,15729.67,6,20,7,1,1,0,2,17941.31,0.1233,0,5.5532,0
INV-000062,SuspiciousVendor_007,COMP_022,50658.98,5,2532.95,53191.93,1,20,7,0,1,0,1,53191.93,0.0,0,19.9921,1
INV-000063,LegitVendor_074,COMP_003,10346.04,5,517.3,10863.34,3,20,3,0,1,0,1,10863.34,0.0,0,19.9614,0
INV-000064,LegitVendor_048,COMP_008,63076.63,12,7569.2,70645.82,2,20,7,0,1,0,1,70645.82,0.0,0,8.3322,0
INV-000065,LegitVendor_023,COMP_017,141978.62,18,25556.15,167534.77,6,20,5,1,1,0,1,167534.77,0.0,0,5.5553,0
INV-000066,LegitVendor_061,COMP_040,12998.36,18,2339.7,15338.07,3,20,7,0,1,0,2,14287.52,0.0735,0,5.5532,0
INV-000067,LegitVendor_018,COMP_021,13446.19,28,3764.93,17211.13,1,20,4,0,1,0,1,17211.13,0.0,0,3.5705,0
INV-000068,LegitVendor_015,COMP_030,71741.76,12,8609.01,80350.77,4,20,8,0,1,0,2,61185.62,0.3132,0,8.3324,0
INV-000069,LegitVendor_052,COMP_024,14601.7,28,4088.48,18690.18,6,20,5,1,1,0,1,18690.18,0.0,0,3.5706,0
INV-000070,LegitVendor_004,COMP_038,29708.17,18,5347.47,35055.64,1,20,5,0,1,0,1,35055.64,0.0,0,5.5545,0
INV-000071,LegitVendor_075,COMP_042,46009.8,5,2300.49,48310.29,1,20,10,0,1,0,1,48310.29,0.0,0,19.9913,0
INV-000072,LegitVendor_039,COMP_006,112359.29,12,13483.11,125842.4,1,20,5,0,1,0,1,125842.4,0.0,0,8.3327,0
INV-000073,LegitVendor_004,COMP_026,3874.99,18,697.5,4572.49,2,20,9,0,1,0,2,19814.07,0.7692,0,5.5476,0
INV-000074,LegitVendor_003,COMP_006,4068.56,12,488.23,4556.78,5,20,1,1,1,0,1,4556.78,0.0,0,8.3163,0
INV-000075,LegitVendor_053,COMP_030,61647.72,5,3082.39,64730.11,4,20,5,0,1,0,3,46425.5,0.3943,0,19.9935,0
INV-000076,LegitVendor_057,COMP_002,18179.93,5,909.0,19088.93,2,20,5,0,1,0,1,19088.93,0.0,0,19.978,0
INV-000077,LegitVendor_002,COMP_040,19331.44,12,2319.77,21651.21,5,20,11,1,1,0,1,21651.21,0.0,0,8.3297,0
INV-000078,LegitVendor_005,COMP_032,35669.6,5,1783.48,37453.08,1,20,8,0,1,0,1,37453.08,0.0,0,19.9888,0
INV-000079,LegitVendor_046,COMP_031,18003.38,18,3240.61,21243.99,1,20,5,0,1,0,1,21243.99,0.0,0,5.5538,0
INV-000080,LegitVendor_048,COMP_017,31014.51,12,3721.74,34736.25,3,20,10,0,1,0,2,52691.04,0.3407,0,8.3311,0
INV-000081,LegitVendor_002,COMP_000,34210.62,28,9578.97,43789.59,6,20,6,1,1,0,2,32720.4,0.3383,0,3.5711,0
INV-000082,LegitVendor_075,COMP_015,28322.06,12,3398.65,31720.71,1,20,5,0,1,0,2,40015.5,0.2073,0,8.3309,0
INV-000083,LegitVendor_007,COMP_027,8881.38,12,1065.77,9947.15,6,20,4,1,1,0,1,9947.15,0.0,0,8.3255,0
INV-000084,LegitVendor_062,COMP_035,7707.16,12,924.86,8632.02,5,20,5,1,1,0,3,57071.73,0.8487,0,8.3243,0
INV-000085,LegitVendor_028,COMP_019,166312.19,28,46567.41,212879.6,6,20,9,1,1,0,1,212879.6,0.0,0,3.5714,0
INV-000086,LegitVendor_004,COMP_009,2761.76,12,331.41,3093.17,3,20,6,0,1,0,3,14240.43,0.7827,0,8.3083,0
INV-000087,LegitVendor_048,COMP_000,2819.28,28,789.4,3608.68,2,20,1,0,1,0,3,36330.25,0.9006,0,3.5669,0
INV-000088,LegitVendor_032,COMP_026,111820.13,5,5591.01,117411.13,3,20,7,0,1,0,3,55967.62,1.0978,0,19.9964,0
INV-000089,SuspiciousVendor_005,COMP_000,60346.94,18,10862.45,71209.39,2,20,4,0,1,0,1,71209.39,0.0,0,5.555,1
INV-000090,LegitVendor_072,COMP_016,23303.92,28,6525.1,29829.01,2,20,10,0,1,0,2,50706.51,0.4117,0,3.5709,0
INV-000091,LegitVendor_064,COMP_012,21983.27,12,2637.99,24621.26,2,20,1,0,1,0,2,77847.08,0.6837,0,8.3302,0
INV-000092,LegitVendor_011,COMP_002,13210.42,28,3698.92,16909.34,5,20,8,1,1,0,3,17597.32,0.0391,0,3.5705,0
INV-000093,LegitVendor_056,COMP_029,1000.0,18,180.0,1180.0,3,20,7,0,1,0,2,33735.47,0.965,0,5.5249,0
INV-000094,LegitVendor_050,COMP_013,10035.64,5,501.78,10537.42,5,20,7,1,1,0,2,20033.22,0.474,0,19.9602,0
INV-000095,LegitVendor_029,COMP_033,63785.19,12,7654.22,71439.41,4,20,11,0,1,0,4,51259.88,0.3937,0,8.3322,0
INV-000096,LegitVendor_078,COMP_037,18685.57,18,3363.4,22048.97,1,20,9,0,1,0,1,22048.97,0.0,0,5.5539,0
INV-000097,LegitVendor_003,COMP_016,21640.85,12,2596.9,24237.75,5,20,6,1,1,0,2,14397.27,0.6834,0,8.3301,0
INV-000098,SuspiciousVendor_005,COMP_023,150000.0,18,27000.0,177000.0,6,20,8,1,1,1,2,124104.7,0.4262,0,5.5553,1
INV-000099,SuspiciousVendor_010,COMP_022,200000.0,12,24000.0,224000.0,2,20,10,0,1,1,1,224000.0,0.0,0,8.333,1
INV-000100,LegitVendor_060,COMP_028,57278.84,12,6873.46,64152.3,0,20,6,0,1,0,1,64152.3,0.0,0,8.3321,0
INV-000101,LegitVendor_041,COMP_020,23412.17,18,4214.19,27626.36,1,20,12,0,1,0,2,27506.15,0.0044,0,5.5542,0
INV-000102,LegitVendor_033,COMP_011,12254.3,12,1470.52,13724.81,2,20,8,0,1,0,1,13724.81,0.0,0,8.3277,0
INV-000103,SuspiciousVendor_014,COMP_026,9517.81,12,1142.14,10659.95,6,22,6,1,1,0,1,10659.95,0.0,0,8.326,1
INV-000104,LegitVendor_051,COMP_007,23155.75,18,4168.03,27323.78,6,20,3,1,1,0,1,27323.78,0.0,0,5.5542,0
INV-000105,LegitVendor_027,COMP_021,158571.56,5,7928.58,166500.14,2,20,8,0,1,0,1,166500.14,0.0,0,19.9975,0
INV-000106,LegitVendor_022,COMP_006,16336.49,18,2940.57,19277.06,3,20,2,0,1,0,2,18254.5,0.056,0,5.5537,0
INV-000107,LegitVendor_037,COMP_044,7742.68,18,1393.68,9136.37,0,20,3,0,1,0,1,9136.37,0.0,0,5.5516,0
INV-000108,SuspiciousVendor_016,COMP_027,200000.0,12,24000.0,224000.0,3,20,3,0,1,1,2,169206.41,0.3238,0,8.333,1
INV-000109,LegitVendor_017,COMP_009,16779.29,18,3020.27,19799.56,4,20,7,0,1,0,1,19799.56,0.0,0,5.5537,0
INV-000110,LegitVendor_007,COMP_021,13826.15,12,1659.14,15485.29,5,20,3,1,1,0,2,12716.22,0.2177,0,8.3283,0
INV-000111,LegitVendor_058,COMP_025,9876.54,28,2765.43,12641.97,3,20,12,0,1,0,1,12641.97,0.0,0,3.5701,0
INV-000112,LegitVendor_052,COMP_036,10503.79,12,1260.45,11764.25,0,20,5,0,1,0,2,15227.21,0.2274,0,8.3267,0
INV-000113,LegitVendor_061,COMP_029,4862.9,5,243.14,5106.04,3,20,11,0,1,0,3,11227.03,0.5452,0,19.9181,0
INV-000114,SuspiciousVendor_018,COMP_008,107514.38,18,19352.59,126866.97,0,20,9,0,1,0,1,126866.97,0.0,0,5.5553,1
INV-000115,LegitVendor_056,COMP_037,19892.73,18,3580.69,23473.42,5,20,4,1,1,0,3,30314.78,0.2257,0,5.554,0
INV-000116,LegitVendor_044,COMP_007,7393.59,18,1330.85,8724.43,4,20,12,0,1,0,2,68540.8,0.8727,0,5.5514,0
INV-000117,SuspiciousVendor_013,COMP_011,150000.0,28,42000.0,192000.0,5,20,12,1,1,1,1,192000.0,0.0,0,3.5713,1
INV-000118,LegitVendor_009,COMP_005,47398.62,5,2369.93,49768.55,1,20,2,0,1,0,2,32158.76,0.5476,0,19.9916,0
INV-000119,LegitVendor_039,COMP_043,387648.36,18,69776.71,457425.07,6,20,6,1,1,0,2,291633.74,0.5685,0,5.5555,0
INV-000120,LegitVendor_061,COMP_030,10664.79,12,1279.77,11944.56,5,20,3,1,1,0,4,11406.41,0.0472,0,8.3268,0
INV-000121,LegitVendor_075,COMP_010,27452.55,5,1372.63,28825.17,3,20,9,0,1,0,3,36285.39,0.2056,0,19.9854,0
INV-000122,SuspiciousVendor_008,COMP_028,150000.0,5,7500.0,157500.0,5,20,3,1,1,1,1,157500.0,0.0,0,19.9973,1
INV-000123,LegitVendor_041,COMP_025,33650.7,18,6057.13,39707.83,5,20,7,1,1,0,3,31573.38,0.2576,0,5.5546,0
INV-000124,LegitVendor_013,COMP_007,2333.33,18,420.0,2753.32,2,20,1,0,1,0,3,4389.21,0.3726,0,5.5424,0
INV-000125,LegitVendor_016,COMP_014,14446.16,12,1733.54,16179.7,2,20,3,0,1,0,1,16179.7,0.0,0,8.3285,0
INV-000126,LegitVendor_050,COMP_001,3735.72,5,186.79,3922.51,6,20,9,1,1,0,3,14662.99,0.7324,0,19.8935,0
INV-000127,LegitVendor_032,COMP_014,86899.26,18,15641.87,102541.13,3,20,3,0,1,0,4,67611.0,0.5166,0,5.5552,0
INV-000128,LegitVendor_026,COMP_028,24001.69,18,4320.3,28321.99,1,20,1,0,1,0,2,22600.12,0.2532,0,5.5543,0
INV-000129,LegitVendor_037,COMP_009,12416.87,12,1490.02,13906.89,5,20,5,1,1,0,2,11521.63,0.207,0,8.3277,0
INV-000130,SuspiciousVendor_014,COMP_044,1262.19,18,227.19,1489.38,5,22,5,1,1,0,2,6074.67,0.7547,0,5.5312,1
INV-000131,LegitVendor_042,COMP_035,13868.21,12,1664.18,15532.39,0,20,1,0,1,0,1,15532.39,0.0,0,8.3283,0
INV-000132,LegitVendor_037,COMP_010,7562.73,28,2117.57,9680.3,2,20,6,0,1,0,3,10907.85,0.1125,0,3.5697,0
INV-000133,LegitVendor_061,COMP_011,1353.35,18,243.6,1596.95,3,20,3,0,1,0,5,9444.52,0.8308,0,5.5328,0
INV-000134,LegitVendor_042,COMP_046,10687.42,5,534.37,11221.79,4,20,11,0,1,0,2,13377.09,0.1611,0,19.9626,0
INV-000135,SuspiciousVendor_008,COMP_028,422005.55,5,21100.28,1426.64,4,22,3,0,1,0,2,79463.32,0.982,0,19.9991,1
INV-000136,LegitVendor_062,COMP_022,41995.56,12,5039.47,47035.03,4,20,8,0,1,0,4,54562.55,0.138,0,8.3317,0
INV-000137,LegitVendor_056,COMP_008,4313.68,18,776.46,5090.14,5,20,6,1,1,0,4,24008.62,0.788,0,5.5484,0
INV-000138,LegitVendor_024,COMP_034,16716.38,12,2005.97,18722.35,4,20,7,0,1,0,3,73940.04,0.7468,0,8.3292,0
INV-000139,LegitVendor_042,COMP_033,46806.06,28,13105.7,59911.76,3,20,10,0,1,0,3,28888.65,1.0738,0,3.5712,0
INV-000140,LegitVendor_051,COMP_023,9302.48,12,1116.3,10418.77,1,20,4,0,1,0,2,18871.28,0.4479,0,8.3259,0
INV-000141,LegitVendor_070,COMP_049,65320.76,28,18289.81,83610.57,2,20,11,0,1,0,1,83610.57,0.0,0,3.5712,0
INV-000142,LegitVendor_062,COMP_048,11004.1,12,1320.49,12324.59,3,20,4,0,1,0,5,46114.96,0.7327,0,8.327,0
INV-000143,LegitVendor_055,COMP_029,7385.92,12,886.31,8272.23,2,20,3,0,1,0,1,8272.23,0.0,0,8.3239,0
INV-000144,LegitVendor_044,COMP_029,31689.06,12,3802.69,35491.75,4,20,1,0,1,0,3,57524.45,0.383,0,8.3311,0
INV-000145,LegitVendor_037,COMP_046,89303.95,5,4465.2,93769.15,6,20,12,1,1,0,4,31623.18,1.9651,0,19.9955,0
INV-000146,LegitVendor_002,COMP_007,40804.78,18,7344.86,48149.64,2,20,1,0,1,0,3,37863.48,0.2717,0,5.5548,0
INV-000147,SuspiciousVendor_017,COMP_032,38501.4,18,6930.25,12325.69,2,22,11,0,1,0,2,12891.14,0.0439,0,5.5548,1
INV-000148,SuspiciousVendor_014,COMP_007,50000.0,18,9000.0,59000.0,5,20,3,1,1,1,3,23716.45,1.4877,0,5.5549,1
INV-000149,LegitVendor_045,COMP_023,15819.97,12,1898.4,17718.37,6,20,5,1,1,0,2,39471.81,0.5511,0,8.3289,0
INV-000150,SuspiciousVendor_006,COMP_017,150000.0,5,7500.0,157500.0,3,20,5,0,1,1,2,183735.85,0.1428,0,19.9973,1
INV-000151,LegitVendor_046,COMP_017,6191.68,12,743.0,6934.69,2,20,4,0,1,0,2,14089.34,0.5078,0,8.3221,0
INV-000152,LegitVendor_066,COMP_041,54590.87,12,6550.9,61141.77,3,20,6,0,1,0,1,61141.77,0.0,0,8.3321,0
INV-000153,LegitVendor_052,COMP_029,4041.5,28,1131.62,5173.12,5,20,11,1,1,0,3,11875.85,0.5644,0,3.5683,0
INV-000154,LegitVendor_073,COMP_021,70699.04,18,12725.83,83424.86,6,20,5,1,1,0,1,83424.86,0.0,0,5.5551,0
INV-000155,LegitVendor_013,COMP_016,21223.2,18,3820.18,25043.37,1,20,10,0,1,0,4,9552.75,1.6214,0,5.5541,0
INV-000156,LegitVendor_072,COMP_044,6628.54,5,331.43,6959.96,2,20,2,0,1,0,3,36124.33,0.8073,0,19.9398,0
INV-000157,LegitVendor_036,COMP_028,203772.3,18,36679.01,240451.31,5,20,8,1,1,0,1,240451.31,0.0,0,5.5554,0
INV-000158,LegitVendor_040,COMP_020,244431.13,18,43997.6,288428.73,4,20,9,0,1,0,2,147326.03,0.9578,0,5.5554,0
INV-000159,SuspiciousVendor_005,COMP_022,175674.37,18,31621.39,83507.74,1,20,3,0,1,0,3,110572.38,0.2448,0,5.5554,1
INV-000160,LegitVendor_061,COMP_025,2378.58,28,666.0,3044.58,0,20,6,0,1,0,6,8377.86,0.6365,0,3.5661,0
INV-000161,SuspiciousVendor_003,COMP_000,150000.0,12,18000.0,168000.0,1,20,1,0,1,1,2,328829.71,0.4891,0,8.3329,1
INV-000162,LegitVendor_053,COMP_038,6717.69,12,806.12,7523.82,3,20,7,0,1,0,4,36700.08,0.795,0,8.323,0
INV-000163,LegitVendor_068,COMP_023,45664.67,5,2283.23,47947.91,6,20,12,1,1,0,2,63070.98,0.2398,0,19.9912,0
INV-000164,LegitVendor_072,COMP_044,3558.11,12,426.97,3985.08,3,20,5,0,1,0,4,28089.51,0.8581,0,8.3139,0
INV-000165,SuspiciousVendor_016,COMP_008,23377.97,12,2805.36,26183.33,0,20,6,0,1,0,3,121532.05,0.7845,0,8.3304,1
INV-000166,LegitVendor_011,COMP_043,193869.06,12,23264.29,217133.35,1,20,1,0,1,0,4,67481.33,2.2176,0,8.333,0
INV-000167,SuspiciousVendor_009,COMP_048,78162.99,18,14069.34,92232.32,2,20,8,0,1,0,1,92232.32,0.0,0,5.5552,1
INV-000168,LegitVendor_079,COMP_022,4436.35,28,1242.18,5678.53,1,20,4,0,1,0,1,5678.53,0.0,0,3.5686,0
INV-000169,LegitVendor_014,COMP_017,58816.73,5,2940.84,61757.57,0,20,8,0,1,0,3,63467.12,0.0269,0,19.9932,0
INV-000170,LegitVendor_047,COMP_006,25864.26,28,7241.99,33106.25,4,20,11,0,1,0,3,34191.73,0.0317,0,3.5709,0
INV-000171,LegitVendor_038,COMP_022,24719.43,12,2966.33,27685.76,5,20,7,1,1,0,2,43138.81,0.3582,0,8.3305,0
INV-000172,SuspiciousVendor_004,COMP_044,200000.0,18,36000.0,236000.0,0,20,5,0,1,1,2,184636.59,0.2782,0,5.5554,1
INV-000173,LegitVendor_032,COMP_021,12648.19,12,1517.78,14165.98,1,20,10,0,1,0,5,56921.99,0.7511,0,8.3278,0
INV-000174,LegitVendor_054,COMP_043,24312.38,28,6807.47,31119.84,0,20,3,0,1,0,1,31119.84,0.0,0,3.5709,0
INV-000175,SuspiciousVendor_013,COMP_034,296031.33,12,35523.76,331555.09,2,20,9,0,1,0,2,261777.54,0.2666,0,8.3331,1
INV-000176,LegitVendor_009,COMP_043,177242.71,5,8862.14,186104.85,1,20,10,0,1,0,3,83474.12,1.2295,0,19.9977,0
INV-000177,LegitVendor_029,COMP_044,26961.67,18,4853.1,31814.77,1,20,12,0,1,0,5,47370.86,0.3284,0,5.5544,0
INV-000178,SuspiciousVendor_000,COMP_036,50000.0,18,9000.0,59000.0,5,22,8,1,1,1,3,56807.85,0.0386,0,5.5549,1
INV-000179,SuspiciousVendor_005,COMP_036,55592.55,18,10006.66,65599.21,0,22,1,0,1,0,4,99329.08,0.3396,0,5.555,1
INV-000180,LegitVendor_062,COMP_007,49502.74,18,8910.49,58413.24,1,20,12,0,1,0,6,48164.67,0.2128,0,5.5549,0
INV-000181,SuspiciousVendor_010,COMP_044,50000.0,5,2500.0,52500.0,1,20,3,0,1,1,2,138250.0,0.6202,0,19.992,1
INV-000182,LegitVendor_048,COMP_004,14071.7,18,2532.91,16604.6,1,20,10,0,1,0,4,31398.84,0.4712,0,5.5534,0
INV-000183,LegitVendor_031,COMP_016,5386.85,12,646.42,6033.27,0,20,3,0,1,0,3,15245.0,0.6042,0,8.3205,0
INV-000184,SuspiciousVendor_003,COMP_046,50000.0,12,6000.0,56000.0,1,22,10,0,1,1,3,237886.47,0.7646,0,8.3319,1
INV-000185,LegitVendor_075,COMP_002,42285.47,18,7611.39,49896.86,1,20,5,0,1,0,4,39688.26,0.2572,0,5.5548,0
INV-000186,LegitVendor_078,COMP_033,80848.44,12,9701.81,90550.25,0,20,9,0,1,0,2,56299.61,0.6084,0,8.3325,0
INV-000187,SuspiciousVendor_017,COMP_004,250000.0,18,45000.0,16681.18,1,20,9,0,1,1,3,14154.49,0.1785,0,5.5554,1
INV-000188,LegitVendor_066,COMP_028,42344.8,18,7622.06,49966.87,3,20,8,0,1,0,2,55554.32,0.1006,0,5.5548,0
INV-000189,LegitVendor_018,COMP_032,247772.2,18,44599.0,292371.2,3,20,11,0,1,0,2,154791.16,0.8888,0,5.5554,0
INV-000190,LegitVendor_047,COMP_032,5417.15,28,1516.8,6933.95,2,20,5,0,1,0,4,27377.28,0.7467,0,3.5691,0
INV-000191,LegitVendor_037,COMP_035,9036.1,5,451.8,9487.9,4,20,4,0,1,0,5,27196.12,0.6511,0,19.9558,0
INV-000192,LegitVendor_030,COMP_042,29014.57,5,1450.73,30465.3,1,20,9,0,1,0,1,30465.3,0.0,0,19.9862,0
INV-000193,LegitVendor_011,COMP_001,18343.57,5,917.18,19260.75,2,20,1,0,1,0,5,57837.21,0.667,0,19.9782,0
